node,degree,clustering,betweeness,centrality,triangles,eccentricity,closeness,page_rank,eigen_centrality,square_clustering,clique,degree_average_voisin,katz
Kodes,3,0.0,0.003003237273249402,0.015384615384615385,0,7,0.2785714285714286,0.003330442427655068,0.005992478102072645,0.0,3,5.333333333333333,
Ixzo,8,0.10714285714285714,0.005459116432432259,0.041025641025641026,3,7,0.3488372093023256,0.005406739461843992,0.053305927700734605,0.014814814814814815,7,12.0,
Aladin 135,8,0.14285714285714285,0.01207901592163497,0.041025641025641026,4,6,0.3651685393258427,0.005807036605655692,0.04383770570934117,0.007310504040015391,5,13.125,
Gouap,5,0.2,0.03905806791864472,0.02564102564102564,2,7,0.22941176470588234,0.007284763948772902,0.0009227797957023883,0.06451612903225806,3,3.2,
Mokobe,4,0.3333333333333333,0.0002863398892259932,0.020512820512820513,2,6,0.33276450511945393,0.002838274482412929,0.04501703363446861,0.03160270880361174,3,19.0,
Missak Portoukalian,1,0.0,0.0,0.005128205128205128,0,8,0.24014778325123154,0.00151263803643994,0.0009255120021499158,0.0,1,6.0,
Jeanjass,1,0.0,0.0,0.005128205128205128,0,8,0.25793650793650796,0.0014695084919146622,0.0029463383992180962,0.0,1,7.0,
Soprano,29,0.09113300492610837,0.07574274131326166,0.14871794871794872,37,6,0.41935483870967744,0.01794378772749662,0.19254841984133805,0.016328254214026814,30,11.275862068965518,
Jeff Le Nerf,4,0.3333333333333333,0.014670408925455687,0.020512820512820513,2,7,0.2846715328467153,0.004293027760515757,0.008316816932747082,0.00847457627118644,3,6.25,
Zoxea,11,0.16363636363636364,0.010880352914841449,0.05641025641025641,9,7,0.3500897666068223,0.007185872840523785,0.05647924279701309,0.020655060489820007,11,10.454545454545455,
Niro,21,0.20952380952380953,0.022657186868106825,0.1076923076923077,44,5,0.407098121085595,0.012073169058953254,0.18187653293233888,0.018434752923103183,31,14.333333333333334,
Laskiiz,1,0.0,0.0,0.005128205128205128,0,8,0.2101293103448276,0.00190473717648073,0.00025052245956481295,0.0,1,3.0,
Despo Rutti,9,0.3055555555555556,0.005653665948180206,0.046153846153846156,11,5,0.36044362292051757,0.005723149619478224,0.07947461831251032,0.03080872913992298,8,14.555555555555555,
Elh Kmer,2,0.0,0.0029100206247725927,0.010256410256410256,0,6,0.3333333333333333,0.002064056649213989,0.02165796880665383,0.0,2,27.0,
Keny Arkana,3,0.0,0.010450652661378243,0.015384615384615385,0,7,0.29411764705882354,0.0035797471776117247,0.015222379483682213,0.05,3,8.333333333333334,
Arma Jackson,3,0.3333333333333333,0.00038917577893623714,0.015384615384615385,1,7,0.30612244897959184,0.0024304261545379366,0.015556940941208438,0.009433962264150943,2,12.666666666666666,
Yl,6,0.3333333333333333,0.028835439979025275,0.03076923076923077,5,5,0.37072243346007605,0.004285668794263872,0.06286689735233576,0.013870541611624834,6,20.166666666666668,
Tunisiano,9,0.3333333333333333,0.0037539495216455912,0.046153846153846156,12,6,0.3700189753320683,0.005602078584713713,0.07713226906815658,0.015458015267175572,7,16.77777777777778,
Caballero,9,0.1388888888888889,0.023723649479650576,0.046153846153846156,5,6,0.3686200378071834,0.007026120700366409,0.03988766631286118,0.012359142130134497,9,12.333333333333334,
Alibi Montana,10,0.2,0.00985026162972038,0.05128205128205128,9,6,0.3397212543554007,0.0066718670450337195,0.052368230803570656,0.027340513670256836,10,10.8,
Furax,3,0.6666666666666666,0.0062812774294648205,0.015384615384615385,2,7,0.26859504132231404,0.003601829227834579,0.004364918243456973,0.03333333333333333,2,6.0,
Sefyu,7,0.23809523809523808,0.002394926393924932,0.035897435897435895,5,7,0.33620689655172414,0.0047408750662132435,0.04168303870281875,0.02100840336134454,6,13.0,
Slimka,5,0.1,0.002447866511746664,0.02564102564102564,1,7,0.3023255813953488,0.004164267805365899,0.010624851104736788,0.03215434083601286,4,8.2,
Youssoupha,21,0.0761904761904762,0.056424985398481835,0.1076923076923077,16,6,0.4088050314465409,0.013432622258615124,0.1153206844566436,0.01352937116035066,19,10.619047619047619,
Maska,8,0.6428571428571429,0.0004841708916490903,0.041025641025641026,18,7,0.33678756476683935,0.004930932364422927,0.06478879234811452,0.052206929283341245,6,14.75,
Lim,6,0.26666666666666666,0.0011923208032929122,0.03076923076923077,4,7,0.3037383177570093,0.004167664072377834,0.025713995300682448,0.025139664804469275,4,9.5,
